,symbol,companyName,sectorKey,industryKey
3553,GLBS,Globus Maritime Limited,industrials,marine-shipping
3554,GLBZ,Glen Burnie Bancorp,financial-services,banks-regional
3555,GLDD,Great Lakes Dredge & Dock Corporation,industrials,engineering-construction
3556,GLE,Global Engine Group Holding Limited,technology,information-technology-services
3557,GLMD,Galmed Pharmaceuticals Ltd.,healthcare,biotechnology
3558,GLNG,Golar LNG Limited,energy,oil-gas-midstream
3559,GLPG,Galapagos NV,healthcare,biotechnology
3560,GLPI,"Gaming and Leisure Properties, Inc.",real-estate,reit-specialty
3561,GLRE,"Greenlight Capital Re, Ltd.",financial-services,insurance-reinsurance
3562,GLSI,"Greenwich LifeSciences, Inc.",healthcare,biotechnology
3563,GLTO,"Galecto, Inc.",healthcare,biotechnology
3564,GLUE,"Monte Rosa Therapeutics, Inc.",healthcare,biotechnology
3565,GLXG,Galaxy Payroll Group Limited,industrials,staffing-employment-services
3566,GLXY,Galaxy Digital,financial-services,capital-markets
3567,GLYC,"GlycoMimetics, Inc.",healthcare,biotechnology
3568,GMAB,Genmab A/S,healthcare,biotechnology
3569,GMGI,"Golden Matrix Group, Inc.",communication-services,electronic-gaming-multimedia
3570,GMHS,Gamehaus Holdings Inc.,communication-services,electronic-gaming-multimedia
3571,GMM,Global Mofy AI Limited,technology,information-technology-services
3572,GNFT,Genfit S.A.,healthcare,biotechnology
3573,GNLN,"Greenlane Holdings, Inc.",consumer-defensive,tobacco
3574,GNLX,Genelux Corporation,healthcare,biotechnology
3575,GNPX,"Genprex, Inc.",healthcare,biotechnology
3576,GNSS,Genasys Inc.,technology,scientific-technical-instruments
3577,GNTA,Genenta Science S.p.A.,healthcare,biotechnology
3578,GNTX,Gentex Corporation,consumer-cyclical,auto-parts
3579,GO,Grocery Outlet Holding Corp.,consumer-defensive,grocery-stores
3580,GOCO,"GoHealth, Inc.",financial-services,insurance-brokers
3581,GOGL,Golden Ocean Group Limited,industrials,marine-shipping
3582,GOGO,Gogo Inc.,communication-services,telecom-services
3583,GOOD,Gladstone Commercial Corporation,real-estate,reit-diversified
3584,GOOG,Alphabet Inc.,communication-services,internet-content-information
3585,GORV,"Lazydays Holdings, Inc.",consumer-cyclical,auto-truck-dealerships
3586,GOSS,"Gossamer Bio, Inc.",healthcare,biotechnology
3587,GOVX,"GeoVax Labs, Inc.",healthcare,biotechnology
3588,GP,GreenPower Motor Company Inc.,industrials,farm-heavy-construction-machinery
3589,GPAT,GP-Act III Acquisition Corp.,financial-services,shell-companies
3590,GPCR,Structure Therapeutics Inc.,healthcare,biotechnology
3591,GPRE,Green Plains Inc.,basic-materials,chemicals
3592,GPRO,"GoPro, Inc.",technology,consumer-electronics
3593,GRAB,Grab Holdings Limited,technology,software-application
3594,GRAL,"GRAIL, Inc.",healthcare,diagnostics-research
3595,GRCE,"Grace Therapeutics, Inc.",healthcare,biotechnology
3596,GREE,Greenidge Generation Holdings Inc.,financial-services,capital-markets
3597,GRFS,"Grifols, S.A.",healthcare,drug-manufacturers-general
3598,GRI,"GRI Bio, Inc.",healthcare,biotechnology
3599,GRNQ,Greenpro Capital Corp.,industrials,consulting-services
3600,GROW,"U.S. Global Investors, Inc.",financial-services,asset-management
3601,GRPN,"Groupon, Inc.",communication-services,internet-content-information
3602,GRRR,Gorilla Technology Group Inc.,technology,software-infrastructure
3603,GRVY,"Gravity Co., Ltd.",communication-services,electronic-gaming-multimedia
3604,GRWG,GrowGeneration Corp.,consumer-cyclical,specialty-retail
3605,GRYP,"Gryphon Digital Mining, Inc.",financial-services,capital-markets
3606,GSAT,"Globalstar, Inc.",communication-services,telecom-services
3607,GSBC,"Great Southern Bancorp, Inc.",financial-services,banks-regional
3608,GSHD,"Goosehead Insurance, Inc",financial-services,insurance-brokers
3609,GSHR,Gesher Acquisition Corp. II,financial-services,shell-companies
